,noun,count
1527,메인,59
1490,각,59
719,경,59
1007,맞은편,59
592,비치,59
3541,전용,59
2024,노원구,59
919,지점,59
1836,문화,59
1816,밀집,59
3911,길이,58
454,애,58
5,아이폰,58
3653,덕분,58
815,진,58
2414,단체,58
1320,포함,58
2365,책임,58
297,구입,58
2458,첨부,58
2497,이름,58
1667,수준,58
2757,현,57
873,저번,57
4003,날씨,57
803,야합,57
806,눈,57
1022,시일,57
717,시경,57
211,심지어,57
210,가보,57
1655,피해,57
1047,기적,57
932,기록,57
2910,날짜,57
1985,초기,56
329,화가,56
101,런,56
1492,여유,56
2165,밑,56
413,적용,56
1062,족하,55
1038,연,55
600,목록,55
2640,막,55
706,매하,55
1585,느낌,55
1091,채,55
1864,구청,55
1178,나타,55
1019,자기,55
2477,애매,55
1011,주말,55
5186,후보,55
3102,지하,54
3030,기대,54
872,된거,54
3999,여,54
616,유용,54
1120,제도,54
668,누구,54
993,정비,54
1812,질,54
648,총,54
1341,빌딩,53
2911,별로,53
2596,률,53
1495,자세,53
2359,완전,53
1586,듭니,53
929,무엇,53
294,조사,53
680,열,53
857,크게,53
1307,이안,53
1198,강동구,53
1274,파크,53
55,햇,52
963,간편,52
1378,주차장,52
94,마음,52
656,당장,52
1327,기압,52
862,종종,52
1197,희망,52
1563,왼쪽,52
1423,대학교,52
462,마련,52
399,시오,52
1227,업무,52
2142,실시간,52
46,납,51
756,역시,51
2009,단위,51
940,정작,51
78,걱정,51
934,방안,51
911,보통,51
2091,중랑천,51
1483,최소,51
1494,지속,51
289,아지,51
1080,포기,51
2157,업체,51
1071,원활,51
518,라오,50
1283,아마,50
1568,얘기,50
396,전하,50
1079,기기,50
1181,분도,50
571,폭,50
63,신속,50
1554,판단,50
1629,당황,50
1152,친구,50
5813,외국인,50
1216,근방,49
1570,어린이,49
853,오,49
2105,하반기,49
5142,디자인,49
1480,삼성,49
3314,제안,49
1448,증가,49
1311,도봉구,49
1172,절차,49
973,중요,49
1561,철거,49
2261,안타,49
1015,음,49
1751,황당,49
902,온,49
243,개발자,49
