,tokenized,detoken
542,"['어플', '버전', '체크', '자꾸', '오류', '가계', '속', '이용', '참어', '렵']",어플 버전 체크 자꾸 오류 가계 속 이용 참어 렵
543,"['어플', '실행', '이안']",어플 실행 이안
544,"['어플', '버전', '오류', '업데이트', '건', '없고', '다시', '려니', '리지', '병', '신', '같은', '어플', '운영', '똑바로', '해', '사람', '열']",어플 버전 오류 업데이트 건 없고 다시 려니 리지 병 신 같은 어플 운영 똑바로 해 사람 열
545,"['자마자', '어플', '버전', '체크', '데이터', '와이파이']",자마자 어플 버전 체크 데이터 와이파이
546,"['어플', '오류', '많습니다', '답답', '하내']",어플 오류 많습니다 답답 하내
547,"['자전거', '부족', '통신', '장애', '형편', '없음']",자전거 부족 통신 장애 형편 없음
548,"['갤럭시', '노트', '오류', '다시', '연결', '습', '만', '반복', '어플']",갤럭시 노트 오류 다시 연결 습 만 반복 어플
549,"['어차피', '보지', '같은데', '따릉이', '새', '에다가', '돈', '제발', '어플', '다시', '공무원', '달', '공부', '진짜', '수준', '지네', '기도', '불편', '오류', '많고', '연결', '안되', '통신', '장애', '공지', '사항', '꼬', '지보면', '기', '진짜', '돈', '조금', '투', '자하', '퀄리티', '좋게', '대체', '어디', '돈', '쓰시', '고치', '계시', '궁금합니다']",어차피 보지 같은데 따릉이 새 에다가 돈 제발 어플 다시 공무원 달 공부 진짜 수준 지네 기도 불편 오류 많고 연결 안되 통신 장애 공지 사항 꼬 지보면 기 진짜 돈 조금 투 자하 퀄리티 좋게 대체 어디 돈 쓰시 고치 계시 궁금합니다
550,"['따릉이', '접속', '안되', '로딩', '안넘']",따릉이 접속 안되 로딩 안넘
551,"['아이디', '회원가입', '안됩니다', '인증번호', '발송', '통보', '오지', '계속', '변함이', '없네요', '확인', '부탁']",아이디 회원가입 안됩니다 인증번호 발송 통보 오지 계속 변함이 없네요 확인 부탁
552,"['어플', '개선', '의지', '없음']",어플 개선 의지 없음
553,"['결제', '인증', '문자', '어플', '진짜', '비회', '원한', '쓰레기', '회원', '권', '세상', '대여', '초도', '안되', '덕분', '타고', '댕']",결제 인증 문자 어플 진짜 비회 원한 쓰레기 회원 권 세상 대여 초도 안되 덕분 타고 댕
554,"['따릉이', '길', '확보']",따릉이 길 확보
555,"['로그인', '안된다', '고요', '깊은', '빡침', '핵', '진짜', '짜증', '로그인', '안되', '뒤', '택시', '진짜', '개미', '똥', '같아요', '어플', '홈페이지', '로그인', '이안', '비회', '원도', '머임']",로그인 안된다 고요 깊은 빡침 핵 진짜 짜증 로그인 안되 뒤 택시 진짜 개미 똥 같아요 어플 홈페이지 로그인 이안 비회 원도 머임
556,"['담당자', '분', '피드백', '좋아요']",담당자 분 피드백 좋아요
557,"['그냥', '안되']",그냥 안되
558,"['어플', '튕기는때', '많음']",어플 튕기는때 많음
559,"['진심', '그지같은', '어플', '처음', '때문', '날', '분동', '안되']",진심 그지같은 어플 처음 때문 날 분동 안되
560,"['오류', '많아요']",오류 많아요
561,"['어플', '몇', '달', '연결', '접속', '장애', '있단다', '첫', '페이지', '아예', '질', '오류', '하루', '이틀', '어떻게', '달', '이럴', '있나', '조', '금전', '따릉이', '고하', '자전거', '시간', '시간', '업데이트', '전이', '안되', '정적', '었다', '서울시', '담당', '공무원', '있는지', '따릉이', '안되', '타나']",어플 몇 달 연결 접속 장애 있단다 첫 페이지 아예 질 오류 하루 이틀 어떻게 달 이럴 있나 조 금전 따릉이 고하 자전거 시간 시간 업데이트 전이 안되 정적 었다 서울시 담당 공무원 있는지 따릉이 안되 타나
562,"['어플', '지도', '필요', '오류', '남', '핵', '구림']",어플 지도 필요 오류 남 핵 구림
563,"['반납', '처리', '안되', '면', '사용자', '책임', '과금', '대한', '해결', '없다고', '통신', '장애', '하루', '이틀', '아닌데', '통신', '장애', '사용자', '증명', '건', '합리', '이지', '같습니다', '다음', '반납', '알림', '톡', '사진']",반납 처리 안되 면 사용자 책임 과금 대한 해결 없다고 통신 장애 하루 이틀 아닌데 통신 장애 사용자 증명 건 합리 이지 같습니다 다음 반납 알림 톡 사진
564,"['네이버', '아이디', '회원', '회원가입', '및', '로그인', '사용', '입니다', '로그인', '유지', '접속', '로그인', '불편', '함', '있네요', '개선']",네이버 아이디 회원 회원가입 및 로그인 사용 입니다 로그인 유지 접속 로그인 불편 함 있네요 개선
565,"['결제', '안되', '장난']",결제 안되 장난
566,"['따릉이', '매일', '이용', '있는데요', '어플', 'UX', '인한', '불편', '두', '아닙니다', '원하는', '페이지', '동하', '게', '라서', '를', '마냥', '이용', '페이지', '이동해', '심하면', '종료', '팝업', '출력', '인적', '카카오톡', '로그인', '이용', '로그인', '체크', '다음', '날', '이면', '불편', '사항', '면', '다른', '분', '이상', '코멘트', '만요', '개발자', '대충', '구한', '세금', '아깝게', '지네']",따릉이 매일 이용 있는데요 어플 UX 인한 불편 두 아닙니다 원하는 페이지 동하 게 라서 를 마냥 이용 페이지 이동해 심하면 종료 팝업 출력 인적 카카오톡 로그인 이용 로그인 체크 다음 날 이면 불편 사항 면 다른 분 이상 코멘트 만요 개발자 대충 구한 세금 아깝게 지네
567,[],
568,"['자동로그인', '설정', '따릉이', '어플', '실행', '로그인', '불편', '어플', '어플', '같', '지도', '불편']",자동로그인 설정 따릉이 어플 실행 로그인 불편 어플 어플 같 지도 불편
569,"['이런거', '안남', '세상', '최악', '어플', '따릉이', '취지', '좋아서', '어플', '중간', '만해', '만족', '이건', '초등학생', '어플', '하니', '출퇴근', '따릉이', '이용', '있', '어플', '개발자', '리베이트', '의심', '정도', '수준', '보', '여주']",이런거 안남 세상 최악 어플 따릉이 취지 좋아서 어플 중간 만해 만족 이건 초등학생 어플 하니 출퇴근 따릉이 이용 있 어플 개발자 리베이트 의심 정도 수준 보 여주
570,"['제발', '어플', '로딩', '입니다', '무한', '반복', '어떻게']",제발 어플 로딩 입니다 무한 반복 어떻게
571,"['공무원', '게', '그렇지']",공무원 게 그렇지
572,"['무지', '좋아요']",무지 좋아요
573,['삭제'],삭제
574,"['따릉이', '어플', '일주일', '권']",따릉이 어플 일주일 권
575,"['다운', '부분', '있', '로그인', '회원가입', '서비스', '오류', '발생', '로그인', '다시', '있는데', '어떻게']",다운 부분 있 로그인 회원가입 서비스 오류 발생 로그인 다시 있는데 어떻게
576,"['까운', '대여소', '보', '려면', '몇번', '겨우', '보임', '마저', '로딩', '시간', '길']",까운 대여소 보 려면 몇번 겨우 보임 마저 로딩 시간 길
577,"['따릉이', '상당', '불편', '달라']",따릉이 상당 불편 달라
578,"['따릉이', '좋은데', '어플', '진짜', '노답']",따릉이 좋은데 어플 진짜 노답
579,"['어플', '자체', '튕', '기자']",어플 자체 튕 기자
580,"['어플', '쓰레기', '회원', '회원가입', '불편', '비', '회원', '안되', '업데이트', '건']",어플 쓰레기 회원 회원가입 불편 비 회원 안되 업데이트 건
581,['엉덩이'],엉덩이
582,"['정말', '짜증', '어플', '느려', '몆번씩', '세금', '축', '내지', '어플', '제대로', '도록']",정말 짜증 어플 느려 몆번씩 세금 축 내지 어플 제대로 도록
583,"['자전거', '타', '기전', '스트레스', '어플']",자전거 타 기전 스트레스 어플
584,['로그아웃'],로그아웃
585,"['욕', '만듬']",욕 만듬
586,"['능력', '듭']",능력 듭
587,"['자동로그인', '계속', '가지', '불편', '무한', '로딩', '먼', '가요']",자동로그인 계속 가지 불편 무한 로딩 먼 가요
588,"['이따', '구로', '어플', '짜증', '네']",이따 구로 어플 짜증 네
589,"['공무원', '라야', '함']",공무원 라야 함
590,"['인증번호', '안주', '있던', '자동로그인', '다른', '어플', '개발자', '세금', '잘만', '어플', '개발자', '세금', '고도', '있음', '꼭', '연락', '좋겠다', '제발', '많다']",인증번호 안주 있던 자동로그인 다른 어플 개발자 세금 잘만 어플 개발자 세금 고도 있음 꼭 연락 좋겠다 제발 많다
591,"['어플', '사용성', '개선', '필요', '같습니다', '회원가입', '및', '결제', '수단', '설정', '불편']",어플 사용성 개선 필요 같습니다 회원가입 및 결제 수단 설정 불편
592,"['자전거', '개그', '같고', '여기저기', '급하게', '타', '앱키', '로딩', '중만', '계속', '완전', '쓰레기', '수원', '모', '바이크', '백배', '빨', '리다', '닐까', '시도', '하루', '손절각', '보', '여주', '갓릉', '아주']",자전거 개그 같고 여기저기 급하게 타 앱키 로딩 중만 계속 완전 쓰레기 수원 모 바이크 백배 빨 리다 닐까 시도 하루 손절각 보 여주 갓릉 아주
593,"['업데이트', '해', '버벅', '거리', '자동로그인', '안되']",업데이트 해 버벅 거리 자동로그인 안되
594,"['따릉이', '좋은데', '어플', '사람', '허구', '날', '오류', '개발자', '능력', '부족']",따릉이 좋은데 어플 사람 허구 날 오류 개발자 능력 부족
595,"['어플', '구동', '오래', '건가', '시작', '화면', '계속', '로딩', '중이', '어떻게', '이용']",어플 구동 오래 건가 시작 화면 계속 로딩 중이 어떻게 이용
596,"['제발', '어플', '제대로', '만듭시', '오랜만', '려니', '비밀번호', '기억', '안나', '찾기', '임시', '비밀번호', '발송', '한참', '동안', '안보', '내주', '기억', '비밀번호', '가능성', '비', '회원', '구', '매하', '하니', '또', '회원', '구매']",제발 어플 제대로 만듭시 오랜만 려니 비밀번호 기억 안나 찾기 임시 비밀번호 발송 한참 동안 안보 내주 기억 비밀번호 가능성 비 회원 구 매하 하니 또 회원 구매
597,"['어플', '오류', '켜', '지지']",어플 오류 켜 지지
598,"['로딩', '오천', '년']",로딩 오천 년
599,"['어플', '누가', '개발', '그냥', '자살']",어플 누가 개발 그냥 자살
600,"['자동로그인', '안되', '접속', '시마', '번거', '불편', '함', '자전거', '대여', '사용', '편리', '같음']",자동로그인 안되 접속 시마 번거 불편 함 자전거 대여 사용 편리 같음
601,"['돈', '인간']",돈 인간
602,"['어플', '로딩', '계속', '로딩', '재부팅', '다시', '로딩', '무슨', '리눅스']",어플 로딩 계속 로딩 재부팅 다시 로딩 무슨 리눅스
603,"['결제', '시스템', '최악', '듯']",결제 시스템 최악 듯
604,"['켜', '지지도', '매우', '개똥', '같은', '어플']",켜 지지도 매우 개똥 같은 어플
605,"['인간', '어플', '오류', '많고', '느려요', '리뷰', '안남', '성격', '어플', '진짜']",인간 어플 오류 많고 느려요 리뷰 안남 성격 어플 진짜
606,"['한번', '완전', '오류', '출근길', '오류', '멘붕', '옴', '그거', '좋음']",한번 완전 오류 출근길 오류 멘붕 옴 그거 좋음
607,"['로딩', '중이', '란', '화면', '안되', '다시', '팝업', '같은거', '경우', '있는데', '그거', '지우', '또', '다시', '엉망', '어플', '간만']",로딩 중이 란 화면 안되 다시 팝업 같은거 경우 있는데 그거 지우 또 다시 엉망 어플 간만
608,"['따릉이', '제도', '좋은데', '어플', '개선', '제발', '업데이트', '개선', '필요', '정도', '아예', '업데이트', '필요', '여력', '안되', '면', '외주', '힘', '어플', '개선', '시급']",따릉이 제도 좋은데 어플 개선 제발 업데이트 개선 필요 정도 아예 업데이트 필요 여력 안되 면 외주 힘 어플 개선 시급
609,[],
610,"['비밀번호', '찾기', '다시', '어플', '여니', '로딩', '창', '어플', '어떻게', '사용', '해결', '방법', '있으면', '주시', '기']",비밀번호 찾기 다시 어플 여니 로딩 창 어플 어떻게 사용 해결 방법 있으면 주시 기
611,"['어플', '자주', '실행', '안되', '용', '구', '네이버', '이메일', '계정', '자동로그인', '안되', '불편']",어플 자주 실행 안되 용 구 네이버 이메일 계정 자동로그인 안되 불편
612,"['따릉이', '어플', '유용', '좋은데', '중간', '려니', '자동로그인', '설정', '자꾸', '로그아웃', '그것', '불편', '상태', '로딩', '중이', '화면', '안되', '어플', '이용', '아예', '강제', '중지', '첫', '화면', '로딩', '중만']",따릉이 어플 유용 좋은데 중간 려니 자동로그인 설정 자꾸 로그아웃 그것 불편 상태 로딩 중이 화면 안되 어플 이용 아예 강제 중지 첫 화면 로딩 중만
613,"['무한', '로그인', '시작', '그냑', '홈페이지', '빠르네요']",무한 로그인 시작 그냑 홈페이지 빠르네요
