,tokenized,detoken
1029,"['주일', '같은데', '지도', '물방울', '전혀', '표시', '장소', '없음', '개발자', '릴리', '담당자', '테스트', '제대로']",주일 같은데 지도 물방울 전혀 표시 장소 없음 개발자 릴리 담당자 테스트 제대로
1030,"['무슨', '지금', '한시간', '대여', '시도', '중이', '예전', '이상', '이제', '어플', '쓰레기']",무슨 지금 한시간 대여 시도 중이 예전 이상 이제 어플 쓰레기
1031,"['자전거', '시간', '실화']",자전거 시간 실화
1032,"['결과', '메시지']",결과 메시지
1033,"['제발', '제대로', '업데이트', '이후', '다시', '지네']",제발 제대로 업데이트 이후 다시 지네
1034,"['업데이트', '진짜', '불편', '짐']",업데이트 진짜 불편 짐
1035,"['이번', '업데이트', '똥']",이번 업데이트 똥
1036,"['서울시', '어플', '제작', '업체', '선정', '어떤', '기준', '건', '당췌', '어플', '오류', '투성이', '세금', '아깝', '구나', '무능', '공무원', '무능', '어플', '개발자', '필요', '보임']",서울시 어플 제작 업체 선정 어떤 기준 건 당췌 어플 오류 투성이 세금 아깝 구나 무능 공무원 무능 어플 개발자 필요 보임
1037,"['아무', '리', '시스템', '좋게', '하나요', '자전거', '탈수', '없게', '실행', '안되', '실행']",아무 리 시스템 좋게 하나요 자전거 탈수 없게 실행 안되 실행
1038,"['대여', '까운', '따릉이', '대여소', '어플', '작동', '안되']",대여 까운 따릉이 대여소 어플 작동 안되
1039,"['없게', '어처구니', '없다', '보', '리뷰', '전부', '참고', '같네요', '웃기']",없게 어처구니 없다 보 리뷰 전부 참고 같네요 웃기
1040,"['연동', '로그인', '계속', '오류', '어플', '버벅', '거리', '최악', '임', '따릉이', '취지', '좋으나', '어플', '신경', '부분', '가지', '아닌듯']",연동 로그인 계속 오류 어플 버벅 거리 최악 임 따릉이 취지 좋으나 어플 신경 부분 가지 아닌듯
1041,"['예전', '편', '빨랐는데', '근처', '따릉이', '대여소', '전혀', '최신', '휴대폰', '데이터', '무제한', '다른', '어플', '처음', '임', '개선', '부탁']",예전 편 빨랐는데 근처 따릉이 대여소 전혀 최신 휴대폰 데이터 무제한 다른 어플 처음 임 개선 부탁
1042,"['같은', '업데이트', '지도', '검색', '생각', '꿈', '검색', '려니', '지도', '로만', '검색', 'QR', '뭔가', '려니', '놈', '인식', '안됩니다', '제발', '서울', '자랑', '따릉이', '앱좀', '롤백', '문제점', '고치', '던', '쇼']",같은 업데이트 지도 검색 생각 꿈 검색 려니 지도 로만 검색 QR 뭔가 려니 놈 인식 안됩니다 제발 서울 자랑 따릉이 앱좀 롤백 문제점 고치 던 쇼
1043,"['이럴거면', '업뎃왜', '하나요', '전', '버전']",이럴거면 업뎃왜 하나요 전 버전
1044,"['업데이트', '최악', 'QR', '코드', '인식', '안되', '밤', '어떻게', '타라', '건가', '지도', '대여소', '클릭', '안되', '대여', '방법', '설명', '최악']",업데이트 최악 QR 코드 인식 안되 밤 어떻게 타라 건가 지도 대여소 클릭 안되 대여 방법 설명 최악
1045,"['빛', '둥둥', '섬', '야시장', '오니', '통신', '장애', '계속', '잠금장치', '안되', '그대로', '택시', '타고', '집', '어플', '로딩', '입니', '다만', '계속', '돌', '아가', '접속', '안되', '예전', '있던', '고객센터', '게시판', '어디', '있는지', '없다', '토요일', '고객', '선터', '전화', '안되', '추가', '결제', '잘만', '있고', '주말', '내내', '과금', '듯']",빛 둥둥 섬 야시장 오니 통신 장애 계속 잠금장치 안되 그대로 택시 타고 집 어플 로딩 입니 다만 계속 돌 아가 접속 안되 예전 있던 고객센터 게시판 어디 있는지 없다 토요일 고객 선터 전화 안되 추가 결제 잘만 있고 주말 내내 과금 듯
1046,"['정말', '좋', '은제', '입니다', '시민', '편', '리하', '이용', '같아요', '어플', '개발자', '뷰', '웅신', '뷰', '웅신같', '애', '오류', '많', '이나고', '죄송', '하단', '말', '상담', '자', '제도', '좋으나', '시행', '같은', '애', '문제', '쯔쯧', '박', '시장님', '좋겠네요']",정말 좋 은제 입니다 시민 편 리하 이용 같아요 어플 개발자 뷰 웅신 뷰 웅신같 애 오류 많 이나고 죄송 하단 말 상담 자 제도 좋으나 시행 같은 애 문제 쯔쯧 박 시장님 좋겠네요
1047,"['이런', '식', '어플', '그냥', '업데이트', '좋은', '방향', '개선', '점점', '후퇴', '하나요']",이런 식 어플 그냥 업데이트 좋은 방향 개선 점점 후퇴 하나요
1048,"['아직', '검증', '안되', '있', '어보', '입니다', '관련', '업체', '충분', '확인', '전', '전', '어플', '로라', '사용', '있', '도록', '셔', 'QR', '코드', '외', '자전거', '탈', '없네요']",아직 검증 안되 있 어보 입니다 관련 업체 충분 확인 전 전 어플 로라 사용 있 도록 셔 QR 코드 외 자전거 탈 없네요
1049,"['진짜', '이럴거면', '업데이트', '자전거', '대남', '누가', '먼저', '결제', '싸움', '결', '국본', '짐', '안드로이드', '지도', '느리', '게로', '딩되', '정류', '소', '번호', '입력', '코드', '없는', '대여소', '지도', '겨우', '겨우', '클릭', '여창', '이안', '아이폰', '통해', '다시', '로그인', '우리', '회사', '어플', '심각', '어플', '이여기', '있네', '세', '금은', '여기', '쓰시', '꼰대', '개발자', '인간', '자기', '자식', '생각', '가지', '개발', '만큼', '만일', '좀말구요', '쫌', '제발', '대한민국', '위해', '인의', '자취', '생각', '집시', '이런건', '전체', '리뷰']",진짜 이럴거면 업데이트 자전거 대남 누가 먼저 결제 싸움 결 국본 짐 안드로이드 지도 느리 게로 딩되 정류 소 번호 입력 코드 없는 대여소 지도 겨우 겨우 클릭 여창 이안 아이폰 통해 다시 로그인 우리 회사 어플 심각 어플 이여기 있네 세 금은 여기 쓰시 꼰대 개발자 인간 자기 자식 생각 가지 개발 만큼 만일 좀말구요 쫌 제발 대한민국 위해 인의 자취 생각 집시 이런건 전체 리뷰
1050,"['타라', '말']",타라 말
1051,"['결제', '모듈', '원래', '휴대폰', '있는', '티머니', '트', '안되', '최악', '입니다', '최악']",결제 모듈 원래 휴대폰 있는 티머니 트 안되 최악 입니다 최악
1052,"['리뉴', '부터', '사용', '위치', '기반', '지도', '검색', '기대', '안될', '뿐더러', '지도', '움직', '근처', '이미지', '버벅', '거리', '확', '대하', '오류', '검색', '하자', '구', '동단', '위로', '검색', '안되', '이름', '검색', '대여소', '검색', '차라리', '구', '버전', '주변', '대여소', '찾기', '편했는데', '따릉이', '서비스', '좋', '아하', '사람', '어플', '개발자', '님', '정말', '신경', '함']",리뉴 부터 사용 위치 기반 지도 검색 기대 안될 뿐더러 지도 움직 근처 이미지 버벅 거리 확 대하 오류 검색 하자 구 동단 위로 검색 안되 이름 검색 대여소 검색 차라리 구 버전 주변 대여소 찾기 편했는데 따릉이 서비스 좋 아하 사람 어플 개발자 님 정말 신경 함
1053,"['삭제', '다시', '때문', '알바', '지각', '함', '빡치네']",삭제 다시 때문 알바 지각 함 빡치네
1054,"['진심', '쓰레기', '쓰레기']",진심 쓰레기 쓰레기
1055,"['어쩌라구', '이용', '료', '대여소', '검색', '안되', '돈', '이지', '운', '영하', '화가', '정말', '어플', '제대로', '질', '기미', '가안', '보이', '이건']",어쩌라구 이용 료 대여소 검색 안되 돈 이지 운 영하 화가 정말 어플 제대로 질 기미 가안 보이 이건
1056,"['진짜', '최악', '임', '자전', '있는데도', '짐', '계속', '수락', '계속', '구매', '이용권', '정보', '볼', '없음', '진짜', '최악', '자전거', '빡']",진짜 최악 임 자전 있는데도 짐 계속 수락 계속 구매 이용권 정보 볼 없음 진짜 최악 자전거 빡
1057,"['지도', '안눌리', '어찌', '어찌', '코드', '간신', '빌려볼랬', '자꾸', '일회용', '권', '비밀번호', '자리', '나', '계속', '정기권', '어플', '이따', '구로', '업데이트', '합']",지도 안눌리 어찌 어찌 코드 간신 빌려볼랬 자꾸 일회용 권 비밀번호 자리 나 계속 정기권 어플 이따 구로 업데이트 합
1058,"['지도', '혼란', '안되']",지도 혼란 안되
1059,"['업데이트', '이전', '버전', '불편', '있었', '나름', '적응', '이번', '리뉴', '진짜', '아닌듯', '개발', '팀', '거임']",업데이트 이전 버전 불편 있었 나름 적응 이번 리뉴 진짜 아닌듯 개발 팀 거임
1060,"['동생', '안되', '점']",동생 안되 점
1061,"['별', '개도', '아까', '움', '아', '대여', '안눌림', '돈', '검수', '제대로', '안되', '어플', '건', '드림', '대여', '도', '아', '대여', '어쩌', '임', '해결', '짜증']",별 개도 아까 움 아 대여 안눌림 돈 검수 제대로 안되 어플 건 드림 대여 도 아 대여 어쩌 임 해결 짜증
1062,"['시작', '화면', '지도', '자전거', '대여소', '로딩', '데이터', '배터리', '업데이트', '공무원', '징계', '부탁']",시작 화면 지도 자전거 대여소 로딩 데이터 배터리 업데이트 공무원 징계 부탁
1063,"['새', '어플', '자전거', '시간', '전', '리라', '건가', '전', '간편', '어플', '다시', '복잡', '불편']",새 어플 자전거 시간 전 리라 건가 전 간편 어플 다시 복잡 불편
1064,"['도대체', '있었는데', '지도', '확대', '안되', '축소도', '안되', '진짜', '있었는데']",도대체 있었는데 지도 확대 안되 축소도 안되 진짜 있었는데
1065,"['게모', '세금', '어떤', '공무원', '이따', '위', '쓰레기', '어플', '얼굴', '이나', '보고']",게모 세금 어떤 공무원 이따 위 쓰레기 어플 얼굴 이나 보고
1066,"['회원', '회원가입', '로그인', '안되', '힘들었']",회원 회원가입 로그인 안되 힘들었
1067,"['시작', '화면', '지도', '주시', '데이터', '시작', '업데이트', '개악', '입니다']",시작 화면 지도 주시 데이터 시작 업데이트 개악 입니다
1068,"['바꿈', '꼰', '대가', '개선', '하니', '신들', '네', '이따', '구로', '도대체', '홈', '화면', '지도', '생각', '누가', '지도', '로딩', '로드', '얼마나']",바꿈 꼰 대가 개선 하니 신들 네 이따 구로 도대체 홈 화면 지도 생각 누가 지도 로딩 로드 얼마나
1069,"['역대', '급', '쓰레기', '한시간', '다시', '집', '간다', '어떤', '새끼']",역대 급 쓰레기 한시간 다시 집 간다 어떤 새끼
1070,"['업데이트', '사전', '테스트', '안되', '시나', '작동', '제대로', '안되', '쓰기', '불편', '세금', '의도', '좋다고', '좋', '은', '란', '숙고', '좋겠습니다']",업데이트 사전 테스트 안되 시나 작동 제대로 안되 쓰기 불편 세금 의도 좋다고 좋 은 란 숙고 좋겠습니다
1071,"['쓰레기', '자전거', '타려스', '스트레스', '진행', '안되', '돈', '쓰레기', '만드나']",쓰레기 자전거 타려스 스트레스 진행 안되 돈 쓰레기 만드나
1072,"['제발', '있으면', '안되', '굳이', '안되', '그런', '건가', '세금', '두리', '두리', '거리', '어플', '개발', '생각', '건가']",제발 있으면 안되 굳이 안되 그런 건가 세금 두리 두리 거리 어플 개발 생각 건가
1073,"['이번', '업데이트', '문제점', '지도', '대여소', '검색', '아예', '안되', '지역구', '대여소', '명', '대여소', '번호', '검색', '안되', '지도', '세로', '반', '보임', '반', '오른쪽', '반', '회색', '표시', '안되', '지도', '검색', '안되', '직접', '지도', '대여소', '대여소', '선택', '안되', '대여', '가능', '대수', '확인', '예약', '이나', '대여', '화면', '안넘', '어감', '대여소', '안되', '검색', '안되', '기록']",이번 업데이트 문제점 지도 대여소 검색 아예 안되 지역구 대여소 명 대여소 번호 검색 안되 지도 세로 반 보임 반 오른쪽 반 회색 표시 안되 지도 검색 안되 직접 지도 대여소 대여소 선택 안되 대여 가능 대수 확인 예약 이나 대여 화면 안넘 어감 대여소 안되 검색 안되 기록
1074,"['업데이트', '이전', '필요', '기능', '젠', '가장', '중요', '정류', '소', '찾기', '안되', '종', '잠실', '데이터', '키', '고도', '정류', '소', '지도', '정류', '소', '표시', '어플', '가장', '중요', '기능', '아닙']",업데이트 이전 필요 기능 젠 가장 중요 정류 소 찾기 안되 종 잠실 데이터 키 고도 정류 소 지도 정류 소 표시 어플 가장 중요 기능 아닙
1075,"['전', '버전', '지도', '나', '오지', '물방울', '뭐징']",전 버전 지도 나 오지 물방울 뭐징
1076,['로그인'],로그인
1077,"['삭제', '재', '설치', '지도', '이런', '간단', '가이드', '업데이트', '이후', '지도', '대여소', '표시', '있다', '며칠', '동안', '여러번', '확인', '바탕', '지도', '물방울', '표시', '한번', '보지', '심각', '오류', '지속', '공식', '공지', '없다는', '건', '정말', '한심하다', '서울시', '기술', '접목', '사업', '앞로', '추진', '서울', '페이', '같은', '이런', '식', '대응', '체계', '절대', '성공', '없다']",삭제 재 설치 지도 이런 간단 가이드 업데이트 이후 지도 대여소 표시 있다 며칠 동안 여러번 확인 바탕 지도 물방울 표시 한번 보지 심각 오류 지속 공식 공지 없다는 건 정말 한심하다 서울시 기술 접목 사업 앞로 추진 서울 페이 같은 이런 식 대응 체계 절대 성공 없다
1078,"['이따', '위로', '페쇄', '즐겨찾기', '검색', '대여', '처', '안되', '네']",이따 위로 페쇄 즐겨찾기 검색 대여 처 안되 네
1079,"['씨', '발', '대여소', '검색', '안되', '어떻게', '이용', '업데이트']",씨 발 대여소 검색 안되 어떻게 이용 업데이트
1080,"['따릉이', '행정', '정책', '서울시', '민', '생', '각하', '마음', '좋으나', '어플', '오류', '많고', '형편', '없다', '대학생', '과제', '퀄리티', '좋을', '같다', '단순', '알고리즘', '부족', '오류', '검토', '문제', '같다', '기모', '띠']",따릉이 행정 정책 서울시 민 생 각하 마음 좋으나 어플 오류 많고 형편 없다 대학생 과제 퀄리티 좋을 같다 단순 알고리즘 부족 오류 검토 문제 같다 기모 띠
1081,"['업데이트', '대여', '없네요', '물방울', '모양', '대여', '계속', '지도', '물방울', '대여', '버튼', '하자', '최악', '임']",업데이트 대여 없네요 물방울 모양 대여 계속 지도 물방울 대여 버튼 하자 최악 임
1082,"['업데이트', '나', '도상', '대여소', '현황', '체크', '있던게', '사라', '짐', '물방', '표시', '클릭', '던데', '아예', '클릭', '자시', '물방울', '표시', '조차', '없음']",업데이트 나 도상 대여소 현황 체크 있던게 사라 짐 물방 표시 클릭 던데 아예 클릭 자시 물방울 표시 조차 없음
1083,"['이전', '편하게', '사람', '불편', '무엇', '익숙', '한사', '람디', '자전거', '이상', '주위', '누구', '천할지', '편하게', '개선', '제발']",이전 편하게 사람 불편 무엇 익숙 한사 람디 자전거 이상 주위 누구 천할지 편하게 개선 제발
1084,"['나', '대여소', '검색', '안되', '이전', '어플', '이런', '문제', '없었는데']",나 대여소 검색 안되 이전 어플 이런 문제 없었는데
1085,"['업데이트', '대여소', '인식', '안되']",업데이트 대여소 인식 안되
1086,"['시간', '대여', '안되', '욕']",시간 대여 안되 욕
1087,['업데이트'],업데이트
1088,"['지우', '다시', '다시', '구', '안내']",지우 다시 다시 구 안내
1089,"['이따', '위로', '업데이트', '대체', '습', '차라리', '기존', '어플', '대여소', '검색', '안되', '어플', '안되', '대여', '권', '무용지물', '최초', '리뷰']",이따 위로 업데이트 대체 습 차라리 기존 어플 대여소 검색 안되 어플 안되 대여 권 무용지물 최초 리뷰
1090,"['이번', '업데이트', '최악', '화가']",이번 업데이트 최악 화가
1091,"['업데이트', '다운', '그레이드', '속도', '느리고', '이런거', '그냥', '세금', '처', '뿌리', '이지', '차라리', '이런거', '애초']",업데이트 다운 그레이드 속도 느리고 이런거 그냥 세금 처 뿌리 이지 차라리 이런거 애초
1092,"['돌', '아가', '던', '어플', '쓰레기', '이따', '위로', '박원순']",돌 아가 던 어플 쓰레기 이따 위로 박원순
1093,['개판'],개판
1094,"['진짜', '욕', '정기권', '대여', '말', '돈', '어떻게']",진짜 욕 정기권 대여 말 돈 어떻게
1095,"['어플', '사용', '있어야지', '나']",어플 사용 있어야지 나
1096,"['지도', '작동', '안되', '미치겠네', '그냥']",지도 작동 안되 미치겠네 그냥
1097,"['개발자', '빠듯하', '생기', '표적', '일', '입니다', '우리나라', '개발자', '힘들어', '열심', '돈', '그대로', '구', '욕', '욕', '대로', '합당', '금액', '시간', '주어', '완벽', '개발']",개발자 빠듯하 생기 표적 일 입니다 우리나라 개발자 힘들어 열심 돈 그대로 구 욕 욕 대로 합당 금액 시간 주어 완벽 개발
1098,"['도대체', '업데이트', '기전', '낫다']",도대체 업데이트 기전 낫다
1099,"['업뎃되', '어플', '오류', '차라리', '롤백']",업뎃되 어플 오류 차라리 롤백
1100,"['주변', '정류', '소', '안되']",주변 정류 소 안되
1101,"['대여소', '지도', '검색', '무슨', '짓', '로딩', '거지', '느', '린지', '궁금함']",대여소 지도 검색 무슨 짓 로딩 거지 느 린지 궁금함
1102,"['최악', '다시', '예전', '껄']",최악 다시 예전 껄
1103,"['업데이트', '이용', '중이', '던', '정기권', '마저', '안되', '게', '드', '따릉이', '위치', '검색', '도안', '지도', '대여소', '표시', '대체', '업뎃왜']",업데이트 이용 중이 던 정기권 마저 안되 게 드 따릉이 위치 검색 도안 지도 대여소 표시 대체 업뎃왜
1104,"['업데이트', '건', '조금', '개발자', '어도', '조금', '변화', '주', '불만', '이번', '업데이트', '오류', '많고', '각', '스마트폰', '별로', '테스트', '같은', '정도', '품질', '입니다', '발전', '위해', '쓴소리', '번호', '지역', '명', '대여', '오류', '지도', '검색', '지도', '보기', '오류', '연장', '반납', '지연', '오류', '발생']",업데이트 건 조금 개발자 어도 조금 변화 주 불만 이번 업데이트 오류 많고 각 스마트폰 별로 테스트 같은 정도 품질 입니다 발전 위해 쓴소리 번호 지역 명 대여 오류 지도 검색 지도 보기 오류 연장 반납 지연 오류 발생
1105,"['지도', '아예', '사용', '불가', '차라리', '전']",지도 아예 사용 불가 차라리 전
1106,"['업데이트', '백년', '지나', '물방울', '안되', '새로', '보이']",업데이트 백년 지나 물방울 안되 새로 보이
1107,"['일동', '안되', '안되', '인터넷', '로그인', '대여', '오늘', '어플', '지우', '다시', '업데이트', '터', '무니', '없게', '같습니다', '개선', '좋겠습니다']",일동 안되 안되 인터넷 로그인 대여 오늘 어플 지우 다시 업데이트 터 무니 없게 같습니다 개선 좋겠습니다
1108,"['업데이트', '이상하', '불편', '자동', '업데이트', '그냥', '사용', '오류', '정도', '시간', '같네요', '지하철', '타고', '진짜', '짜증', '쓸데없는', '업데이트', '그냥']",업데이트 이상하 불편 자동 업데이트 그냥 사용 오류 정도 시간 같네요 지하철 타고 진짜 짜증 쓸데없는 업데이트 그냥
1109,"['업데이트', '지도', '여전', '공지', '도안', '를', '모양', '대체', '의심', '수준']",업데이트 지도 여전 공지 도안 를 모양 대체 의심 수준
1110,"['느려', '자전거', '대여소', '안나', '결제', '느리고', '하자', '겁', '출근길', '시간', '택', '시타']",느려 자전거 대여소 안나 결제 느리고 하자 겁 출근길 시간 택 시타
1111,"['개떡같은', '어플', '공무원', '제대로']",개떡같은 어플 공무원 제대로
1112,"['아침', '부터', '열받', '게', '진짜']",아침 부터 열받 게 진짜
1113,"['통일', '전', '물방울', '모양', '나타', '납']",통일 전 물방울 모양 나타 납
1114,"['편', '좋은', '어플', '업데이트', '최악', '변했네요']",편 좋은 어플 업데이트 최악 변했네요
1115,"['자전거', '최고', '어플', '최악', '어플', '업데이트', '전이', '차라리', '업데이트', '해상도', '높', '아지', '외', '대여', '안되', '조회', '안되', '최저', '입찰', '업체', '선정']",자전거 최고 어플 최악 어플 업데이트 전이 차라리 업데이트 해상도 높 아지 외 대여 안되 조회 안되 최저 입찰 업체 선정
1116,"['업데이트', '기전', '정말', '간편', '유용', '사용', '있었는데', '업데이트', '사실', '대여', '휴대폰', '잡고', '다른', '말씀', '대로', '대여소', '위치', '표시', '검색', '지도', '반응속도', '느', '리다', '아예', '작동', '수준', '짜증', '삭제', '다시', '다운로드', '하니', '느리게', '나마', '정상', '작동', '참고', '그냥', '지우', '다시', '시간', '절약', '방법', '입니다']",업데이트 기전 정말 간편 유용 사용 있었는데 업데이트 사실 대여 휴대폰 잡고 다른 말씀 대로 대여소 위치 표시 검색 지도 반응속도 느 리다 아예 작동 수준 짜증 삭제 다시 다운로드 하니 느리게 나마 정상 작동 참고 그냥 지우 다시 시간 절약 방법 입니다
1117,"['짓', '해', '어플', '데기', '된거']",짓 해 어플 데기 된거
1118,"['갑자기', '더욱', '구리', '돈', '맘', '이용', '없네요', '따릉이', '좋', '아하', '앱땜', '싫어질', '같음']",갑자기 더욱 구리 돈 맘 이용 없네요 따릉이 좋 아하 앱땜 싫어질 같음
1119,"['기존', '어플', '직관', '로', '간편', '전혀', 'UX', '반영', '안된', '같네요']",기존 어플 직관 로 간편 전혀 UX 반영 안된 같네요
1120,"['최고', '하드웨어', '최악', '어플', '서비스', '개발', '사업자', '선정', '부터', '다시', '실', '간곡', '요청', '개발', '분', '한번', '당신', '암', '서비스', '보시', '속', '경험', '보시', '길']",최고 하드웨어 최악 어플 서비스 개발 사업자 선정 부터 다시 실 간곡 요청 개발 분 한번 당신 암 서비스 보시 속 경험 보시 길
1121,"['대여소', '검색', '안되', '에스', '맘대로', '검색', '해', '빡치네']",대여소 검색 안되 에스 맘대로 검색 해 빡치네
1122,"['어플', '완전', '쓰레기', '어플', '예전', '어플', '백배', '좋아여']",어플 완전 쓰레기 어플 예전 어플 백배 좋아여
1123,"['최악', '임', '대여소', '조회', '도안', '오류', '임']",최악 임 대여소 조회 도안 오류 임
1124,"['어플', '문제', '많습니다', '지금', '지도', '상담', '전화', '하니', '기고', '어플', '문제', '검토', '안해', '보고', '업데이트', '하니', '주변', '힘드는거', '아닙', '대여', '힘들', '어떻게', '일', '상적', '이용', '가능', '습']",어플 문제 많습니다 지금 지도 상담 전화 하니 기고 어플 문제 검토 안해 보고 업데이트 하니 주변 힘드는거 아닙 대여 힘들 어떻게 일 상적 이용 가능 습
1125,"['그냥', '업데', '이틀', '사람', '피곤', '거지', '같은', '따룽']",그냥 업데 이틀 사람 피곤 거지 같은 따룽
1126,"['업데이트', '하니', '거지', '같아졌']",업데이트 하니 거지 같아졌
1127,"['어플', '자체', '오류', '많고', '대여', '과정', '불편', '함']",어플 자체 오류 많고 대여 과정 불편 함
1128,"['닝', '기리', '진짜', '지도', '물방울', '표시', '안된다고', '대여', '없잖아']",닝 기리 진짜 지도 물방울 표시 안된다고 대여 없잖아
1129,"['진짜', '만하', '리뷰', '만드', '제도', '자체', '개꿀', '어플', '발전', '자신', '없으면', '업데이트']",진짜 만하 리뷰 만드 제도 자체 개꿀 어플 발전 자신 없으면 업데이트
1130,"['무슨', '업데이트', '개떡', '합', '결제', '분간', '포기', '버스', '생각', '있으면', '사용자', '리뷰', '보고', '개선']",무슨 업데이트 개떡 합 결제 분간 포기 버스 생각 있으면 사용자 리뷰 보고 개선
1131,"['따릉이', '좋은데', '어플', '성능', '혐', '입니다', '이용자', '많은데', '자잘한', '오류', '심각', '개월', '전', '버전', '이나', '지금', '버전', '이나', '차이', '오히려', '원래', '참고', '만하', '던', '대여소', '찾기', '지도', '부분', '어떤', '부분', '아예', '오류', '그냥', '우리', '학교', '학부', '생', '프로젝트', '수업', '이정', '돈']",따릉이 좋은데 어플 성능 혐 입니다 이용자 많은데 자잘한 오류 심각 개월 전 버전 이나 지금 버전 이나 차이 오히려 원래 참고 만하 던 대여소 찾기 지도 부분 어떤 부분 아예 오류 그냥 우리 학교 학부 생 프로젝트 수업 이정 돈
1132,"['음', '테스트', '안되', '된거', '같네요', '카카오톡', '로그인', '인증', '오류', '표시', '확인', '홈', '이동', '회원', '로그인', '클릭', '오류', '메세지', '이후', '무한', '반복', '나쁜', '말', '개발자', '수정']",음 테스트 안되 된거 같네요 카카오톡 로그인 인증 오류 표시 확인 홈 이동 회원 로그인 클릭 오류 메세지 이후 무한 반복 나쁜 말 개발자 수정
1133,"['지도', '위', '물방울', '습', '동안']",지도 위 물방울 습 동안
1134,"['전', '대충', '안좋앗다면', '지금', '최악', '안좋음', '도상', '대여', '이안', '자전거', '대여', '어플', '제일', '안되', '자전거', '대여', '임']",전 대충 안좋앗다면 지금 최악 안좋음 도상 대여 이안 자전거 대여 어플 제일 안되 자전거 대여 임
1135,"['진짜', '욕']",진짜 욕
1136,"['박원순', '색기', '세금', '낭비', '하냨', '탄핵']",박원순 색기 세금 낭비 하냨 탄핵
1137,"['리뷰', '안남', '없는', '서비스']",리뷰 안남 없는 서비스
1138,"['진짜', '세금', '아깝다']",진짜 세금 아깝다
1139,"['업데이트', '어플', '오류', '막심', '진짜', '어플', '아예', '안되', '난리']",업데이트 어플 오류 막심 진짜 어플 아예 안되 난리
1140,"['더러', '불편', '합', '좋아', '지기', '박살']",더러 불편 합 좋아 지기 박살
1141,"['지도', '보고', '위치', '선택', '지도', '로딩', '느림']",지도 보고 위치 선택 지도 로딩 느림
1142,"['업데이트', '최악', '입니다', '이용자', '체', '불가능', '리뷰', '처음', '열받']",업데이트 최악 입니다 이용자 체 불가능 리뷰 처음 열받
1143,"['런가', '지금', '어플', '지도', '로딩', '만계', '속', '따릉이', '현황', '파악', '전혀']",런가 지금 어플 지도 로딩 만계 속 따릉이 현황 파악 전혀
1144,"['자전거', '멀쩡한', '어플', '고장']",자전거 멀쩡한 어플 고장
1145,"['업데이트', '아예', '안되', '예전', '편함', '대체', '뭐임', '로딩', '중하', '안넘']",업데이트 아예 안되 예전 편함 대체 뭐임 로딩 중하 안넘
1146,"['기만', '오류']",기만 오류
1147,"['그냥', '나', '개발', '돈', '반주', '나', '맏겨', '니', '들보', '단', '대여', '위치', '메인', '화면', '지도', '먼저', '로딩', '세월', '이지', '장류', '장', '위치', '뜰', '생각', '이상', '번호', '검색', '대여소', '이안', '그냥', '초기', '상태', '그냥', '업뎃할', '돈', '바닥', '뿌리', '고다', '녀', '그게', '덜', '아까워']",그냥 나 개발 돈 반주 나 맏겨 니 들보 단 대여 위치 메인 화면 지도 먼저 로딩 세월 이지 장류 장 위치 뜰 생각 이상 번호 검색 대여소 이안 그냥 초기 상태 그냥 업뎃할 돈 바닥 뿌리 고다 녀 그게 덜 아까워
1148,"['쓰레기', '업데이트', '자전거', '이용', '대중교통', '이용', '년', '이용자', '이런', '경우', '보상', '이나', '아예', '어플', '사용', '없네요', '오늘', '따릉이', '대도', '테스트', '안되', '어플', '업데이트', '겁']",쓰레기 업데이트 자전거 이용 대중교통 이용 년 이용자 이런 경우 보상 이나 아예 어플 사용 없네요 오늘 따릉이 대도 테스트 안되 어플 업데이트 겁
1149,['없다고'],없다고
1150,"['이보', '있을까', '있네요', '어도', '해', '보고', '배포']",이보 있을까 있네요 어도 해 보고 배포
1151,"['업데이트', '거임', '아침', '바쁜', '시간', '는걸', '시간', '낭비', '택시', '고객센터', '전화', '어플', '엉망', '갑자기', '업뎃하', '불편', '짐', '진짜', '따릉이', '아주', '엉망']",업데이트 거임 아침 바쁜 시간 는걸 시간 낭비 택시 고객센터 전화 어플 엉망 갑자기 업뎃하 불편 짐 진짜 따릉이 아주 엉망
1152,"['엡', '업데이트', '능력', '없으면', '건드', '리지', '말', '아야', '세금', '도대체', '어떤', '개발', '업체', '썻길', '이럽', '없습니다', '아침', '아슬아슬', '남아', '있던', '자전거', '대여소', '자전거']",엡 업데이트 능력 없으면 건드 리지 말 아야 세금 도대체 어떤 개발 업체 썻길 이럽 없습니다 아침 아슬아슬 남아 있던 자전거 대여소 자전거
1153,"['따릉이', '담당', '주무관', '대가리', '총', '어플', '안되', '자너', '월급', '도둑', '세금', '이따', '구로', '가족', '너', '알음', '그냥', '집', '삼식이', '해']",따릉이 담당 주무관 대가리 총 어플 안되 자너 월급 도둑 세금 이따 구로 가족 너 알음 그냥 집 삼식이 해
1154,"['지금', '업데이트', '물방울', '물방울', '점도', '대여소', '검색', '안되', '고여', '빨', '리조', '치취']",지금 업데이트 물방울 물방울 점도 대여소 검색 안되 고여 빨 리조 치취
1155,"['만하', '리뷰', '안남', '이번', '업데이트', '기획', '신분', '진', '지하', '진로', '대해', '민하', '시기', '바람', '집', '애나', '보시', '게', '일', '동료', '사장', '도움', '임']",만하 리뷰 안남 이번 업데이트 기획 신분 진 지하 진로 대해 민하 시기 바람 집 애나 보시 게 일 동료 사장 도움 임
