content,complain
이 앱을 만든 사람을 공개해야한다고 생각합니다. 세금으로 이런걸 만들다니... 누가 관련되어있나요?,"율현공원 규모가 상당하지만 버스도 안들어 옵니다.하지만 가족들과 함께 갑니다.가고 올때마다 느끼는거지만 여긴 대여소가 최소2개는 있어야 겠다라는 생각을 매번합니다.서울숲같은경우에는 대여소가 무려4곳이 있습니다공원 연면적인 비슷하지 않을까 싶습니다.그리고 교통이 잘 되있음에도 그리 많습니다.하지만 율현공원은 대중교통도, 따릉이도 전무 합니다 ㅜㅜ율현공원 동쪽, 서쪽으로 공원이 분리되어 있습니다.최소 1개씩은 필요 합니다.설치해주세요~"
최악 쓰고싶어도 로딩시간이 너무 길어서 사용 못하고 오류도 많아서 빌리지도 못함,Gps위치에도 하나도안보이고 이게뭔지 모르겠네요언제 완성되나요? 이전껀 위치나 대여율현황이 잘나타났었는데 빨리 개선바랍니다
앱인데 터치가 안됨. 그냥 최악,모바일에서 즐겨찾기 등록 화면이  6개까지만 보이고 아래로 넘어가지가 않아서 불편합니다.빠른 시정 조치 요청합니다
이딴거 왜만드나 맨날오류야 만는것 진짜 뚝배기 깨고 싶네,"이전 앱에서는 바로바로 대여쉽게했는데.. 앱 개편되고나서  지도에 대여소 잘뜨지도 않고,대여번호 입력해도 뜨지도 않고.ㅠ 앱 이따구로  왜바꾼건가요??최신폰인데..    대여하는데  5분 이상접속해야하고..   답답하네~~~"
"업데이트 되고 너무 느려 자전거 빌리기가 힘듬... 즐겨찾기 해논 대여소들 다 사라지고.. 지도에 자전거 현황도 안뜨고..대여소 번호 
검색해도 나오지도 않고.. 큐알코드로 겨우겨우 타고 다님.. 제발.. 제대로 업데이트 좀..",수고 많으십니다.앱 개편 후 처음 들어왔는데디자인은 좀 나아졌지만 서비스가 불안정 한 듯 합니다일단 지도에 대여소 표시 안되고요확대 축소 시 화면에 반영되는 시간이 엄청 오래걸립니다맵 부분만 먹통 되는것 같고요다른 메뉴는 정상 작동됩니다 참고로 스마트폰 모델은 lg v30 입니다.계시판 보니 저만 그런건 아닌것 같군요빠른 시일내에 정상화 되었으면 좋겠네요그럼 수고하세요~
"예전에하던 방식이 더나음 qr코드는 제대로 인식도 안되고 뭘 업데이트한건지 그리고 대여소 눌러도 아무것도 안뜨고 대여소 선택대여 이런건 
아예없애고 답답해죽는줄알았네","아이폰은 앱을 깔수가 없는데, 네이버지도로 바뀌고 가치대 초록색 표시가 안떠요. 홈페이지 바뀌거 더 안좋아진 느낌인데, 자전거이용을 못하고있어요. 봄 바꿔주세요."
앱 바뀌면서 엄청 불편해졌네요. 사용 편의성에 대해서 개선이 필요합니다.,이용권을 구매하고 거치소를 찾는과정에서 지도만뜨고 물방울이 안떠요...
앱 너무 느려요,"15일 이후 앱 변경 후 신청불가 장애가 있어 사용을 못 하고 있습니다! 지도로 보여지는 화면에서 물방울을 선택하라는데, 물방울이 보이질 않습니다. 대여소를 선택해도 상황은 같습니다.이 부분 해결을 부탁 드리며, 미사용에 대한 기간을 보상 부탁 드립니다. 보상 방법으로 미사용 기간동안 연장이 좋을 것 같습니다.참고사항으로 물방울이 안 보이는 부분은 화면 캡쳐 해 두었습니다."
지도 모양으로 바뀌고 난 뒤로 빌릴 수조차 없음... 이전 버전은 잘 빌렸는데 내 이용권 어떡할거예요??,경희대학교 근처에는 대여소들은 정문과 거리가 너무 멉니다ㅠㅠ 따릉이타고 등하교 하고싶은데 자전거에서 내린 이후에 거리가 너무 멀어서 이용을 안하게되네요... 이용하는 학생들이 많을것 같습니다! 설치 건의합니다!
"업데이트 이후 어플을킬때마다 기본 5분은 가만히 보고있어야지 어플이실항되내요 빠른로딩을 할수있도록 GPS 기능과 지도 모드는 선택형으로 
바꿔주셨으면 좋겠습니다",3518  대여소 자전거 남은 한 대20분째 예약 중이네요 어플이 이상한건가요?아님 어떤 정신 나간 새끼가 계속 예약걸어놓고 있는건가요?               예약도 한 번 하고 안 찾아가면못하게 해주세요
업뎃 이후 지도 터치도 안됨. 어제 따릉이들 앞에서 몇십분 삽질하다 승질나서 그냥 옴,"앱이 개편되고 나서 딱하나만 사용합니다.QrCode로 대여하기..나머지는 작동 불능입니다.지도 확대하면 바로 다운되어 버립니다.가끔 남은 자전거가 있는지 확인할 수 없어서 허탕을 치더라도 현재로서는 무조건 대여소로 가서, QrCode를 이용하는 방법 밖에는 없습니다.제발 예전으로 돌려주거나, 저처럼 지도를 이용할 때 먹통이 되는 문제를 해결해주세요."
업데이트 만든놈들 대가리박아,"역삼1동 주민센터, 강남역에 대여소 설치 부탁합니다"
"앱 업데이트한뒤로 대여를 못하고 있어요. 지도에서 물방울이 도대체 어디뜬답니까? 자주찾는 정류소고 안나오고 정류소 검색해도 암것도 
안뜨고 지도는 확대하면 그냥 멈추고 업데이트 한뒤 못빌려서 자전거타려다 급한마음에 택시타고 가고 못빌린날만큼 환불해주거나 
연장시켜주나요? 한번쯤은 QR코드로 대여했는데 오늘은 그마저도 안되더군요 정말 실망입니다. 어서 조치해주거나 예전 버던으로 돌려주세요",도봉구 창2동과 창3동에는 따릉이 대여소가 하나도 없습니다.창2동옆에는 우이천이 있기때문에 따릉이를 대여한다면 많은 사람이 탈 것 입니다. 설치해주세요
